DialogID,DateCreated,Date&TimeCreated,DateEnded,Date&TimeEnded,CustomerComplaintDialog
1,1/10/2023,9:32 AM,1/10/2023,9:45 AM,"C: My fridge (Model: SFS200) is not cooling properly. It's still under warranty. Can I get a technician to fix this? <br> Agent: Absolutely, we can arrange a repair. Please share your purchase details..."
2,2/5/2023,2:15 PM,2/5/2023,2:30 PM,"C: I ordered a dishwasher online, but it hasn't been delivered yet. Order ID: SMD1234. Can you check its status? <br> A: Apologies for the delay. Let me track your order..."
3,12/15/2022,11:05 AM,12/15/2022,11:20 AM,C: My oven's display is glitching. Is this something I can fix myself? <br> A: We can guide you through some troubleshooting steps. Please provide the model number...
4,3/20/2023,3:30 PM,3/20/2023,3:42 PM,C: I need to cancel my extended warranty. How do I proceed? <br> A: I'm sorry to hear that. I can assist with the cancellation...
5,8/8/2023,6:10 PM,8/8/2023,6:25 PM,C: The stove's burners are not igniting. It's a safety concern! <br> A: We take such issues very seriously. Kindly provide the stove's model and age...
6,7/12/2023,10:45 AM,7/12/2023,11:02 AM,C: My account was charged twice for the same toaster purchase. Please help! <br> A: Oh dear! We can rectify this. Let's get your account details...
7,11/3/2022,2:30 PM,11/3/2022,2:48 PM,"C: I'm interested in a vintage SMEG fridge, but it's not listed on the website anymore. Can I still purchase it? <br> A: Let me connect you with our sales team for assistance..."
8,5/18/2023,8:00 AM,5/18/2023,8:15 AM,C: My washing machine is leaking and damaged my floor. What does the warranty cover? <br> A: We'll need to assess the situation. Kindly provide the machine's details...
9,9/25/2023,4:35 PM,9/25/2023,4:50 PM,C: I want to return the blender I bought yesterday. It's too noisy! <br> A: Returns are possible within 30 days. I'll guide you through the process...
10,4/11/2023,11:30 AM,4/11/2023,11:42 AM,C: My coffee machine's app connection is unstable. Any suggestions? <br> A: This might be a known issue. Let's check for a firmware update...
11,6/6/2023,3:15 PM,6/6/2023,3:35 PM,C: The appliance repairman never showed up in the scheduled time. What now? <br> A: Apologies for the inconvenience. I'll contact the technician and reschedule...
12,2/22/2023,5:45 PM,2/22/2023,6:00 PM,C: I'm moving and want to take my SMEG appliances. Can I get help with disconnecting them? <br> A: Certainly! We can arrange a technician visit...
13,3/3/2023,2:00 PM,3/4/2023,10:30 AM,"C: I'm considering a kitchen renovation. Do you offer design consultations? <br> A: Yes, we provide expert design advice. Let's schedule a call with our interior designer..."
14,10/29/2023,8:45 AM,10/29/2023,9:02 AM,C: My smart fridge is not connecting to my phone. Any troubleshooting tips? <br> A: We have some steps to resolve this. Let's start with checking your WiFi connection...
15,1/5/2023,1:15 PM,1/5/2023,1:30 PM,"C: I need to replace my old SMEG dishwasher, but I can't find the same model. <br> A: We can suggest a modern equivalent. What features are you looking for?"
16,11/18/2022,4:10 PM,11/18/2022,4:25 PM,C: The oven's door is not closing properly. Is this a common issue? <br> A: This might be a simple fix. Let's troubleshoot together...
17,7/25/2023,9:00 AM,7/25/2023,9:12 AM,"C: I'd like to upgrade my warranty, but the website isn't clear on the process. <br> A: I can walk you through the warranty upgrade steps..."
18,5/2/2023,6:30 PM,5/2/2023,6:45 PM,"C: My cooktop is scratched. Can I claim warranty for this? <br> A: Scratches are usually not covered, but let's check the terms for your specific model..."
19,8/12/2023,11:45 AM,8/12/2023,12:00 PM,C: I want to report a damaged package delivery. The toaster box was crushed. <br> A: We apologize for the poor packaging. We'll arrange a replacement...
20,12/3/2023,2:05 PM,12/3/2023,2:20 PM,"C: My account login isn't working. I think I forgot my password. <br> A: No worries, we can reset your password. Let's get your email address..."
21,9/7/2023,5:30 PM,9/7/2023,5:42 PM,C: The dryer is making a strange noise. Should I be concerned? <br> A: It's best to get it inspected. Kindly provide the dryer's model and age...
22,4/25/2023,10:15 AM,4/25/2023,10:35 AM,C: I need help connecting my new fridge to the water line. <br> A: We can provide a step-by-step guide or arrange a technician for assistance...
23,11/5/2023,3:45 PM,11/5/2023,4:00 PM,C: I think my credit card was charged fraudulently on your website. <br> A: We take fraud seriously. Let's investigate this immediately...
24,6/18/2023,8:30 AM,6/18/2023,8:45 AM,C: My range hood is not extracting smoke properly. Any advice? <br> A: There are a few things we can try. Let's start with checking the filters...
25,3/12/2023,5:10 PM,3/12/2023,5:25 PM,C: I'm interested in a custom-colored fridge. What's the process? <br> A: SMEG offers customization options. Let's discuss your preferences...
26,8/28/2023,2:45 PM,8/28/2023,3:00 PM,"C: The appliance delivery was late, and I want to provide feedback. <br> A: We value your feedback. Please share your experience so we can improve..."
27,12/10/2023,10:05 AM,12/10/2023,10:20 AM,C: I want to gift a SMEG blender to my friend. Can I get it gift-wrapped? <br> A: Absolutely! We offer gift-wrapping and a personalized note...
28,5/30/2023,4:00 PM,5/30/2023,4:15 PM,C: My fridge's ice maker is not working after a power outage. <br> A: Power surges can affect electronics. Let's try a reset...
29,7/3/2023,9:15 AM,7/3/2023,9:30 AM,C: I need help setting up my new SMEG account. <br> A: I'll be happy to assist. Let's get you set up and explore our digital features...
30,11/22/2023,5:45 PM,11/22/2023,6:02 PM,C: I want to report a defective toaster I purchased last week. <br> A: We apologize for the inconvenience. Let's arrange a replacement or refund...
